artifact,field,n,missing_mask_differences,changed_records,max_absolute_difference,tolerance,judgement
derived/stage1b_explicit_stop_cohort.parquet,episode_number,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,episode_start_minute,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,episode_end_minute,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,terminal_drug,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,active_agents_before_stop,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,next_episode_start_minute,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,uniquepid,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,gender,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,age,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,hospitalid,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,hospitaldischargestatus,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,hospital_discharge_minute,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,unitadmitsource,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,hospitaladmitsource,8810,0,0,,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,duration_hours,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,restart_24h,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,death_24h,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,candidate_number,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,any_eol_discussion_before_cessation,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,competing_outcome_code,8810,0,0,0.0,1e-10,match
derived/stage1b_explicit_stop_cohort.parquet,competing_outcome,8810,0,0,,1e-10,match
derived/stage2b_explicit_stop_feature_matrix.parquet,episode_number,8810,0,0,0.0,1e-10,match
derived/stage2b_explicit_stop_feature_matrix.parquet,episode_start_minute,8810,0,0,0.0,1e-10,match
derived/stage2b_explicit_stop_feature_matrix.parquet,episode_end_minute,8810,0,0,0.0,1e-10,match
derived/stage2b_explicit_stop_feature_matrix.parquet,terminal_drug,8810,0,0,,1e-10,match
derived/stage2b_explicit_stop_feature_matrix.parquet,active_agents_before_stop,8810,0,0,0.0,1e-10,match
