artifact,field,n,missing_mask_differences,changed_records,max_absolute_difference,tolerance,judgement
derived/vasopressor_liberation_features_stage7.parquet,subject_id,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,hadm_id,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,episode_id,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,episode_start,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,episode_end,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,terminal_status,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,terminal_drug,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,source_records,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,distinct_drugs,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,duration_hours,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,next_episode_start,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,intime,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,outtime,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,deathtime,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,restart_24h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,death_24h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,candidate_number,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,failure_24h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,strict_24h_observable,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,early_alive_icu_exit,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,gender,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,age,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,race,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,admission_type,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,insurance,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,marital_status,12015,0,0,,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,stopped_attempt_number,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_count_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_minutes_since_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_mean_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_min_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_sd_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_mean_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_min_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_sd_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_slope_toward_stop_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_below65_pct_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_below65_pct_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,map_arterial_pct_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,hr_count_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,hr_minutes_since_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_mean_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_sd_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_mean_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_sd_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,heart_rate_slope_toward_stop_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,spo2_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,spo2_mean_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,respiratory_rate_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,respiratory_rate_mean_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,temperature_c_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,lactate_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,lactate_minutes_since,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,creatinine_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,creatinine_minutes_since,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,bicarbonate_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,bicarbonate_minutes_since,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,ph_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,ph_minutes_since,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,base_excess_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,hemoglobin_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,platelets_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,wbc_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,bilirubin_total_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,albumin_last,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_last_5min,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_mean_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_max_1h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_mean_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_max_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,nee_slope_toward_stop_6h,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,active_agents_last_5min,12015,0,0,0.0,1e-10,match
derived/vasopressor_liberation_features_stage7.parquet,maximum_active_agents_6h,12015,0,0,0.0,1e-10,match
