artifact,field,n,missing_mask_differences,changed_records,max_absolute_difference,tolerance,judgement
posthoc_overlap_exclusion_sensitivity.csv,n,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,patients,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,hospitals,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,events,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,auroc,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,auprc,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,brier,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_sensitivity.csv,mean_predicted_risk,4,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,estimate,12,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,ci_low,12,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,ci_high,12,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,valid_replicates,12,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,attempted_replicates,12,0.0,0.0,0.0,1e-08,match
posthoc_overlap_exclusion_hospital_bootstrap_CI.csv,resampling_unit,12,0.0,0.0,,1e-08,match
source_intercept_recalibrated.json,independently_retrained_predictions,2084,,,0.0,1e-10,match
source_logistic_recalibrated.json,independently_retrained_predictions,2084,,,0.0,1e-10,match
target_native_refit.json,independently_retrained_predictions,2084,,,0.0,1e-10,match
