database,variable,variable_label,unit,window,outcome_group,group_n,display
MIMIC-IV,age,Age,years,At admission/index record,no_recorded_event,4336,"68.00 [58.00, 78.00]; missing 0/4336 (0.0%)"
MIMIC-IV,age,Age,years,At admission/index record,restart_first,3468,"68.00 [58.00, 77.00]; missing 0/3468 (0.0%)"
MIMIC-IV,age,Age,years,At admission/index record,death_first,1475,"71.00 [60.00, 80.00]; missing 0/1475 (0.0%)"
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,no_recorded_event,4336,"19.18 [11.28, 39.18]; missing 0/4336 (0.0%)"
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first,3468,"19.67 [11.28, 41.95]; missing 0/3468 (0.0%)"
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,death_first,1475,"34.72 [16.66, 71.52]; missing 0/1475 (0.0%)"
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,no_recorded_event,4336,"75.00 [68.00, 83.00]; missing 120/4336 (2.8%)"
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first,3468,"75.00 [68.00, 84.00]; missing 141/3468 (4.1%)"
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,death_first,1475,"64.00 [54.00, 74.00]; missing 128/1475 (8.7%)"
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,no_recorded_event,4336,"84.00 [73.00, 97.00]; missing 2/4336 (0.0%)"
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first,3468,"86.00 [75.00, 99.00]; missing 0/3468 (0.0%)"
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,death_first,1475,"94.00 [78.00, 111.00]; missing 2/1475 (0.1%)"
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,no_recorded_event,4336,"0.03 [0.02, 0.04]; missing 0/4336 (0.0%)"
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first,3468,"0.03 [0.02, 0.05]; missing 0/3468 (0.0%)"
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,death_first,1475,"0.32 [0.13, 0.61]; missing 0/1475 (0.0%)"
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,no_recorded_event,4336,"1.00 [1.00, 1.00]; missing 0/4336 (0.0%)"
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first,3468,"1.00 [1.00, 1.00]; missing 0/3468 (0.0%)"
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,death_first,1475,"2.00 [1.00, 3.00]; missing 0/1475 (0.0%)"
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,no_recorded_event,4336,"73.80 [68.43, 79.83]; missing 120/4336 (2.8%)"
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first,3468,"73.47 [68.79, 79.33]; missing 141/3468 (4.1%)"
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,death_first,1475,"67.07 [60.33, 73.83]; missing 128/1475 (8.7%)"
eICU,age,Age,years,At admission/index record,no_recorded_event,4118,"67.00 [57.00, 77.00]; missing 0/4118 (0.0%)"
eICU,age,Age,years,At admission/index record,restart_first,2457,"67.00 [57.00, 77.00]; missing 0/2457 (0.0%)"
