database,variable,variable_label,unit,window,outcome_group,outcome_label,group_n,observed_n,missing_n,missing_percent,median,q1,q3,mean,sd
MIMIC-IV,age,Age,years,At admission/index record,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,68.0,58.0,78.0,67.07749077490774,14.944047609729186
MIMIC-IV,age,Age,years,At admission/index record,restart_first,Restart first,3468,3468,0,0.0,68.0,58.0,77.0,66.41695501730104,14.329118838280465
MIMIC-IV,age,Age,years,At admission/index record,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,71.0,60.0,80.0,69.18440677966102,14.62391123308012
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,19.183333333333334,11.275,39.18333333333333,33.002256303813034,40.56829830634158
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first,Restart first,3468,3468,0,0.0,19.666666666666668,11.279166666666667,41.94583333333333,36.09385813148789,47.000207430703
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,34.71666666666667,16.65833333333333,71.51666666666667,60.18577401129943,80.45674923667188
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,1.0,1.0,2.0,1.433809963099631,0.7099561302640892
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first,Restart first,3468,3468,0,0.0,1.0,1.0,2.0,1.4873125720876585,0.7614981047095015
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,2.0,1.0,3.0,2.4522033898305087,1.112217930025001
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,no_recorded_event,No recorded event under complete observation,4336,4216,120,2.7675276752767526,75.0,68.0,83.0,76.51257115749526,13.057036423816522
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first,Restart first,3468,3327,141,4.065743944636678,75.0,68.0,84.0,77.27832882476706,13.857559328528088
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,death_first,Death first / administrative death proxy first,1475,1347,128,8.677966101694915,64.0,54.0,74.0,63.651076466221234,17.97381300371086
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,no_recorded_event,No recorded event under complete observation,4336,4334,2,0.046125461254612546,84.0,73.0,97.0,85.71042916474389,17.44813678234934
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first,Restart first,3468,3468,0,0.0,86.0,75.0,99.0,87.36014994232987,18.199192468241957
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,death_first,Death first / administrative death proxy first,1475,1473,2,0.13559322033898305,94.0,78.0,111.0,94.8866259334691,25.900704866642517
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,0.02999592834385112,0.020001520169898868,0.04322307013353566,0.03812640256046951,0.05688725713464906
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first,Restart first,3468,3468,0,0.0,0.030009952024556696,0.020006859813292976,0.050017298781313,0.048074675273564994,0.0656324346878685
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,0.32163391390349716,0.13045014784438536,0.6126883856486529,0.4592398392821243,0.45532433606934125
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,1.0,1.0,1.0,1.0080719557195572,0.09926777081666613
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first,Restart first,3468,3468,0,0.0,1.0,1.0,1.0,1.0268166089965398,0.18797576337286293
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,2.0,1.0,3.0,1.8650847457627118,0.9725373744206613
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4104,232,5.350553505535055,75.0,68.0,83.0,76.49624019309692,12.531401714123248
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first,Restart first,3468,3177,291,8.391003460207612,75.0,68.75,83.0,77.04285710472843,13.061662444183868
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,death_first,Death first / administrative death proxy first,1475,1234,241,16.338983050847457,65.0,55.0,74.0,64.45513020244762,16.370021201991758
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4216,120,2.7675276752767526,73.8,68.42857142857143,79.83333333333333,74.64319569245623,9.572265994586024
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first,Restart first,3468,3327,141,4.065743944636678,73.46666666666667,68.79285714285714,79.33333333333333,74.7757243114185,9.74794753651478
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,death_first,Death first / administrative death proxy first,1475,1347,128,8.677966101694915,67.06666666666666,60.333333333333336,73.83333333333333,67.29250426646254,11.910891803035199
MIMIC-IV,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4285,51,1.17619926199262,84.0,73.0,96.5,85.53022848278391,17.278553382897297
MIMIC-IV,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,restart_first,Restart first,3468,3353,115,3.3160322952710493,86.0,74.375,98.0,87.05017737265464,17.8185352418197
MIMIC-IV,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,death_first,Death first / administrative death proxy first,1475,1408,67,4.542372881355932,95.0,80.0,112.0,96.18667678445209,24.241694659358682
MIMIC-IV,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4334,2,0.046125461254612546,82.52272727272728,72.5,94.36458333333333,84.07922561087115,16.448309482152073
MIMIC-IV,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,restart_first,Restart first,3468,3468,0,0.0,83.72916666666666,74.0,96.0,85.38061751444715,16.476151285321347
MIMIC-IV,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,death_first,Death first / administrative death proxy first,1475,1473,2,0.13559322033898305,96.375,80.57142857142857,111.0,96.4153848426389,21.43332591141411
