database,variable,variable_label,unit,window,comparison,first_group,second_group,first_group_n,second_group_n,first_observed_n,second_observed_n,standardized_difference
MIMIC-IV,age,Age,years,At admission/index record,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,-0.04511914129518019
MIMIC-IV,age,Age,years,At admission/index record,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,0.1425051037964038
MIMIC-IV,age,Age,years,At admission/index record,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-0.1911584603523148
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.07042020284063186
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,0.42664569599375607
MIMIC-IV,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-0.3656526640803701
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.07267615294755277
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,1.0914979246678633
MIMIC-IV,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.0123406879188963
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3327,4216,0.0568776276539038
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1347,4216,-0.8187351473886872
MIMIC-IV,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3327,1347,0.849144844947528
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4334,0.09253735268604225
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1473,4334,0.41553936148923976
MIMIC-IV,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1473,-0.33624856495581423
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.16198256554697785
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,1.2978660198366032
MIMIC-IV,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.2639936201048534
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.12470278423081356
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,1.2397821034261218
MIMIC-IV,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.1968154611226458
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3177,4104,0.042706853845830645
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1234,4104,-0.8260000924583983
MIMIC-IV,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3177,1234,0.8500326568469286
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3327,4216,0.013718599952623844
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1347,4216,-0.6803023337752934
MIMIC-IV,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3327,1347,0.6875882984031129
MIMIC-IV,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3353,4285,0.08660370919580597
