database,group,variable,level,value,numerator,denominator,missing_n,missing_pct,source_variable
MIMIC-IV,MIMIC-IV development,"Age, years","Median [Q1, Q3]","69.00 [58.00, 78.00]",,8590,0,0.0,age
MIMIC-IV,MIMIC-IV development,"Vasopressor episode duration, h","Median [Q1, Q3]","20.66 [11.72, 43.58]",,8590,0,0.0,duration_hours
MIMIC-IV,MIMIC-IV development,"Last MAP, mmHg","Median [Q1, Q3]","74.00 [66.00, 82.00]",,8242,348,4.051222351571595,map_last
MIMIC-IV,MIMIC-IV development,"Mean MAP, prior 1 h, mmHg","Median [Q1, Q3]","74.00 [67.00, 82.00]",,7895,695,8.090803259604192,map_mean_1h
MIMIC-IV,MIMIC-IV development,"Mean MAP, prior 6 h, mmHg","Median [Q1, Q3]","72.67 [67.20, 78.67]",,8242,348,4.051222351571595,map_mean_6h
MIMIC-IV,MIMIC-IV development,"Last heart rate, beats/min","Median [Q1, Q3]","86.00 [74.00, 100.00]",,8586,4,0.046565774155995346,heart_rate_last
MIMIC-IV,MIMIC-IV development,"Mean heart rate, prior 6 h, beats/min","Median [Q1, Q3]","84.85 [74.17, 97.50]",,8586,4,0.046565774155995346,heart_rate_mean_6h
MIMIC-IV,MIMIC-IV development,"Last respiratory rate, breaths/min","Median [Q1, Q3]","20.00 [16.00, 24.00]",,8575,15,0.17462165308498254,respiratory_rate_last
MIMIC-IV,MIMIC-IV development,"Last temperature, C","Median [Q1, Q3]","36.89 [36.56, 37.28]",,7492,1098,12.78230500582072,temperature_c_last
MIMIC-IV,MIMIC-IV development,Last NEE,"Median [Q1, Q3]","0.03 [0.02, 0.06]",,8590,0,0.0,nee_last_5min
MIMIC-IV,MIMIC-IV development,"Mean NEE, prior 6 h","Median [Q1, Q3]","0.05 [0.03, 0.10]",,8590,0,0.0,nee_mean_6h
MIMIC-IV,MIMIC-IV development,Modified shock index,"Median [Q1, Q3]","1.17 [0.98, 1.39]",,8242,348,4.051222351571595,modified_shock_index_last
MIMIC-IV,MIMIC-IV development,Distinct vasopressors in episode,"Median [Q1, Q3]","1.00 [1.00, 2.00]",,8590,0,0.0,distinct_drugs
MIMIC-IV,MIMIC-IV development,Active vasopressors at last grid point,"Median [Q1, Q3]","1.00 [1.00, 1.00]",,8590,0,0.0,active_agents_last_5min
MIMIC-IV,MIMIC-IV development,Sex,F,3615/8590 (42.1%),3615,8590,0,0.0,gender
MIMIC-IV,MIMIC-IV development,Sex,M,4975/8590 (57.9%),4975,8590,0,0.0,gender
MIMIC-IV,MIMIC-IV development,Race,AMERICAN INDIAN/ALASKA NATIVE,18/8590 (0.2%),18,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,ASIAN,103/8590 (1.2%),103,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,ASIAN - ASIAN INDIAN,22/8590 (0.3%),22,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,ASIAN - CHINESE,81/8590 (0.9%),81,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,ASIAN - KOREAN,12/8590 (0.1%),12,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,ASIAN - SOUTH EAST ASIAN,40/8590 (0.5%),40,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,BLACK/AFRICAN,27/8590 (0.3%),27,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,BLACK/AFRICAN AMERICAN,650/8590 (7.6%),650,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,BLACK/CAPE VERDEAN,40/8590 (0.5%),40,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,BLACK/CARIBBEAN ISLAND,47/8590 (0.5%),47,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC OR LATINO,47/8590 (0.5%),47,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - CENTRAL AMERICAN,6/8590 (0.1%),6,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - COLUMBIAN,9/8590 (0.1%),9,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - CUBAN,12/8590 (0.1%),12,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - DOMINICAN,59/8590 (0.7%),59,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - GUATEMALAN,18/8590 (0.2%),18,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - HONDURAN,2/8590 (0.0%),2,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - MEXICAN,7/8590 (0.1%),7,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - PUERTO RICAN,97/8590 (1.1%),97,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,HISPANIC/LATINO - SALVADORAN,14/8590 (0.2%),14,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,MULTIPLE RACE/ETHNICITY,4/8590 (0.0%),4,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,16/8590 (0.2%),16,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,OTHER,233/8590 (2.7%),233,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,PATIENT DECLINED TO ANSWER,42/8590 (0.5%),42,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,PORTUGUESE,35/8590 (0.4%),35,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,SOUTH AMERICAN,6/8590 (0.1%),6,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,UNABLE TO OBTAIN,127/8590 (1.5%),127,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,UNKNOWN,1001/8590 (11.7%),1001,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,WHITE,5532/8590 (64.4%),5532,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,WHITE - BRAZILIAN,12/8590 (0.1%),12,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,WHITE - EASTERN EUROPEAN,15/8590 (0.2%),15,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,WHITE - OTHER EUROPEAN,161/8590 (1.9%),161,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Race,WHITE - RUSSIAN,95/8590 (1.1%),95,8590,0,0.0,race
MIMIC-IV,MIMIC-IV development,Admission type,AMBULATORY OBSERVATION,1/8590 (0.0%),1,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,DIRECT EMER.,368/8590 (4.3%),368,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,DIRECT OBSERVATION,2/8590 (0.0%),2,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,ELECTIVE,339/8590 (3.9%),339,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,EU OBSERVATION,2/8590 (0.0%),2,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,EW EMER.,4094/8590 (47.7%),4094,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,OBSERVATION ADMIT,1054/8590 (12.3%),1054,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,SURGICAL SAME DAY ADMISSION,747/8590 (8.7%),747,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Admission type,URGENT,1983/8590 (23.1%),1983,8590,0,0.0,admission_type
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,angiotensin_ii,3/8590 (0.0%),3,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,dopamine,345/8590 (4.0%),345,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,epinephrine,542/8590 (6.3%),542,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,norepinephrine,4004/8590 (46.6%),4004,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,phenylephrine,2775/8590 (32.3%),2775,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Terminal vasopressor,vasopressin,921/8590 (10.7%),921,8590,0,0.0,terminal_drug
MIMIC-IV,MIMIC-IV development,Competing outcome,death_first,1337/8590 (15.6%),1337,8590,0,0.0,corrected_status
MIMIC-IV,MIMIC-IV development,Competing outcome,durable_liberation_alive_confirmed,4105/8590 (47.8%),4105,8590,0,0.0,corrected_status
MIMIC-IV,MIMIC-IV development,Competing outcome,restart_first,3148/8590 (36.6%),3148,8590,0,0.0,corrected_status
MIMIC-IV,MIMIC-IV temporal validation,"Age, years","Median [Q1, Q3]","67.00 [55.00, 77.00]",,689,0,0.0,age
