database,group,variable,level,value,numerator,denominator,missing_n,missing_pct,source_variable
MIMIC-IV,included_primary,"Age, years","Median [Q1, Q3]","68.00 [58.00, 78.00]",,9279,0,0.0,age
MIMIC-IV,included_primary,"Vasopressor episode duration, h","Median [Q1, Q3]","20.90 [11.75, 44.10]",,9279,0,0.0,duration_hours
MIMIC-IV,included_primary,"Last MAP, mmHg","Median [Q1, Q3]","74.00 [66.00, 82.00]",,8890,389,4.192262097208751,map_last
MIMIC-IV,included_primary,"Mean MAP, prior 1 h, mmHg","Median [Q1, Q3]","74.00 [67.00, 82.00]",,8515,764,8.233645867011532,map_mean_1h
MIMIC-IV,included_primary,"Mean MAP, prior 6 h, mmHg","Median [Q1, Q3]","72.83 [67.43, 78.86]",,8890,389,4.192262097208751,map_mean_6h
MIMIC-IV,included_primary,"Last heart rate, beats/min","Median [Q1, Q3]","86.00 [74.00, 100.00]",,9275,4,0.04310809354456299,heart_rate_last
MIMIC-IV,included_primary,"Mean heart rate, prior 6 h, beats/min","Median [Q1, Q3]","84.83 [74.00, 97.50]",,9275,4,0.04310809354456299,heart_rate_mean_6h
MIMIC-IV,included_primary,"Last respiratory rate, breaths/min","Median [Q1, Q3]","20.00 [16.00, 24.00]",,9263,16,0.17243237417825197,respiratory_rate_last
MIMIC-IV,included_primary,"Last temperature, C","Median [Q1, Q3]","36.89 [36.56, 37.28]",,8122,1157,12.469016057764845,temperature_c_last
MIMIC-IV,included_primary,Last NEE,"Median [Q1, Q3]","0.03 [0.02, 0.06]",,9279,0,0.0,nee_last_5min
MIMIC-IV,included_primary,"Mean NEE, prior 6 h","Median [Q1, Q3]","0.05 [0.03, 0.10]",,9279,0,0.0,nee_mean_6h
MIMIC-IV,included_primary,Modified shock index,"Median [Q1, Q3]","1.16 [0.98, 1.38]",,8890,389,4.192262097208751,modified_shock_index_last
MIMIC-IV,included_primary,Distinct vasopressors in episode,"Median [Q1, Q3]","1.00 [1.00, 2.00]",,9279,0,0.0,distinct_drugs
MIMIC-IV,included_primary,Active vasopressors at last grid point,"Median [Q1, Q3]","1.00 [1.00, 1.00]",,9279,0,0.0,active_agents_last_5min
MIMIC-IV,included_primary,Sex,F,3864/9279 (41.6%),3864,9279,0,0.0,gender
MIMIC-IV,included_primary,Sex,M,5415/9279 (58.4%),5415,9279,0,0.0,gender
MIMIC-IV,included_primary,Race,AMERICAN INDIAN/ALASKA NATIVE,20/9279 (0.2%),20,9279,0,0.0,race
MIMIC-IV,included_primary,Race,ASIAN,109/9279 (1.2%),109,9279,0,0.0,race
MIMIC-IV,included_primary,Race,ASIAN - ASIAN INDIAN,24/9279 (0.3%),24,9279,0,0.0,race
MIMIC-IV,included_primary,Race,ASIAN - CHINESE,89/9279 (1.0%),89,9279,0,0.0,race
MIMIC-IV,included_primary,Race,ASIAN - KOREAN,12/9279 (0.1%),12,9279,0,0.0,race
MIMIC-IV,included_primary,Race,ASIAN - SOUTH EAST ASIAN,42/9279 (0.5%),42,9279,0,0.0,race
MIMIC-IV,included_primary,Race,BLACK/AFRICAN,28/9279 (0.3%),28,9279,0,0.0,race
