model,group,n,events,mean_predicted,observed_rate
source_only,0,211,63,0.20460256728798576,0.2985781990521327
source_only,1,210,57,0.35077877840219523,0.2714285714285714
source_only,2,210,74,0.750781533135892,0.3523809523809524
source_only,3,211,90,0.981725700029917,0.4265402843601896
source_only,4,210,90,0.989304129249069,0.42857142857142855
source_only,5,210,70,0.9920458375445997,0.3333333333333333
source_only,6,211,79,0.993951038101606,0.3744075829383886
source_only,7,210,83,0.9953561249685345,0.3952380952380952
source_only,8,210,62,0.9965882248588672,0.29523809523809524
source_only,9,211,66,0.9976192622730747,0.3127962085308057
target_native_full,0,211,30,0.13937795675500014,0.14218009478672985
target_native_full,1,210,54,0.21919867484436936,0.2571428571428571
target_native_full,2,210,63,0.26814391168025603,0.3
target_native_full,3,211,73,0.3041130408694074,0.3459715639810427
target_native_full,4,210,60,0.3356530907499133,0.2857142857142857
target_native_full,5,210,72,0.36466793492000515,0.34285714285714286
target_native_full,6,211,86,0.3985008608465552,0.4075829383886256
target_native_full,7,210,85,0.4391497865340567,0.40476190476190477
target_native_full,8,210,92,0.48787687531913304,0.4380952380952381
target_native_full,9,211,119,0.5982797231594278,0.5639810426540285
