model,restart_first,bin_left,bin_right,count
source_only,0,0.0,0.05,10
source_only,0,0.05,0.1,4
source_only,0,0.1,0.15000000000000002,20
source_only,0,0.15000000000000002,0.2,23
source_only,0,0.2,0.25,33
source_only,0,0.25,0.30000000000000004,53
source_only,0,0.30000000000000004,0.35000000000000003,85
source_only,0,0.35000000000000003,0.4,65
source_only,0,0.4,0.45,35
source_only,0,0.45,0.5,19
source_only,0,0.5,0.55,10
source_only,0,0.55,0.6000000000000001,3
source_only,0,0.6000000000000001,0.65,1
source_only,0,0.65,0.7000000000000001,2
source_only,0,0.7000000000000001,0.75,2
source_only,0,0.75,0.8,2
source_only,0,0.8,0.8500000000000001,4
source_only,0,0.8500000000000001,0.9,10
source_only,0,0.9,0.9500000000000001,24
source_only,0,0.9500000000000001,1.0,965
source_only,1,0.0,0.05,4
source_only,1,0.05,0.1,5
source_only,1,0.1,0.15000000000000002,6
source_only,1,0.15000000000000002,0.2,12
source_only,1,0.2,0.25,13
source_only,1,0.25,0.30000000000000004,21
source_only,1,0.30000000000000004,0.35000000000000003,27
source_only,1,0.35000000000000003,0.4,27
source_only,1,0.4,0.45,12
source_only,1,0.45,0.5,6
source_only,1,0.5,0.55,1
source_only,1,0.55,0.6000000000000001,5
source_only,1,0.6000000000000001,0.65,0
source_only,1,0.65,0.7000000000000001,2
source_only,1,0.7000000000000001,0.75,0
source_only,1,0.75,0.8,3
source_only,1,0.8,0.8500000000000001,2
source_only,1,0.8500000000000001,0.9,4
source_only,1,0.9,0.9500000000000001,20
source_only,1,0.9500000000000001,1.0,564
target_native_full,0,0.0,0.05,14
target_native_full,0,0.05,0.1,20
target_native_full,0,0.1,0.15000000000000002,54
target_native_full,0,0.15000000000000002,0.2,115
target_native_full,0,0.2,0.25,147
target_native_full,0,0.25,0.30000000000000004,189
target_native_full,0,0.30000000000000004,0.35000000000000003,231
target_native_full,0,0.35000000000000003,0.4,209
target_native_full,0,0.4,0.45,152
target_native_full,0,0.45,0.5,110
target_native_full,0,0.5,0.55,60
target_native_full,0,0.55,0.6000000000000001,39
target_native_full,0,0.6000000000000001,0.65,19
target_native_full,0,0.65,0.7000000000000001,4
target_native_full,0,0.7000000000000001,0.75,5
target_native_full,0,0.75,0.8,1
target_native_full,0,0.8,0.8500000000000001,1
target_native_full,0,0.8500000000000001,0.9,0
target_native_full,0,0.9,0.9500000000000001,0
target_native_full,0,0.9500000000000001,1.0,0
target_native_full,1,0.0,0.05,0
target_native_full,1,0.05,0.1,4
target_native_full,1,0.1,0.15000000000000002,5
target_native_full,1,0.15000000000000002,0.2,30
target_native_full,1,0.2,0.25,54
target_native_full,1,0.25,0.30000000000000004,78
target_native_full,1,0.30000000000000004,0.35000000000000003,108
target_native_full,1,0.35000000000000003,0.4,116
target_native_full,1,0.4,0.45,102
target_native_full,1,0.45,0.5,94
target_native_full,1,0.5,0.55,45
target_native_full,1,0.55,0.6000000000000001,46
target_native_full,1,0.6000000000000001,0.65,24
target_native_full,1,0.65,0.7000000000000001,18
target_native_full,1,0.7000000000000001,0.75,7
target_native_full,1,0.75,0.8,2
target_native_full,1,0.8,0.8500000000000001,1
target_native_full,1,0.8500000000000001,0.9,0
target_native_full,1,0.9,0.9500000000000001,0
target_native_full,1,0.9500000000000001,1.0,0
