variant,model,n,hospitals,events,prevalence,status,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
primary_traceable,corrected_primary_source_raw,2104,37,734,0.3488593155893536,estimated,0.5045088406690665,0.3415080414040652,0.5196946009319205,-0.7898667962771421,0.04684899720175029,0.8252167631637634
primary_traceable,corrected_primary_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5045088406690665,0.3415080414040652,0.3936106664481869,-0.6256093053483488,0.04665684503759287,0.5897304853792235
primary_traceable,corrected_primary_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.49549115933093335,0.3356947370429475,0.2275072393883405,-4.363231734137042,-5.732373140524176,0.3425947206519409
primary_traceable,corrected_strict_source_raw,2104,37,734,0.3488593155893536,estimated,0.5043099504763421,0.34059108826000073,0.5206762900016036,-0.7944276166185825,0.047248807059799766,0.8274521171853949
primary_traceable,corrected_strict_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5043099504763421,0.34059108826000073,0.3935258328418326,-0.6251676434154637,0.047060428787845734,0.5904024540775301
primary_traceable,corrected_strict_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.495690049523658,0.3359249328061525,0.2274835163317166,-4.703778570447802,-6.2649868134623325,0.3428333467377604
primary_traceable,target_native_refit,2104,37,734,0.3488593155893536,estimated,0.6324499293939815,0.4725743998520904,0.21557447182260656,-0.12161978925465067,0.8346827489624844,0.3555048770313861
primary_traceable,target_native__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.6116818154696791,0.46399281138064563,0.21934215883861968,-0.12267512431552999,0.9855131258851455,0.37458581180554895
primary_traceable,target_native__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.6294655820521491,0.4790027564313084,0.21592150325420648,-0.1461419887247955,0.8676667043512981,0.3660443981136269
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.5043467451619961,0.36503515689341076,0.23778176854546867,-0.5711751339076394,0.07434571701409155,0.3480725402980792
primary_traceable,source_trained__corrected_primary__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.463879552099286,0.3232324996670076,0.2413251834970612,-0.6415824095157869,-0.029638813305284815,0.3741654965699533
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.504455140317031,0.36478400034766084,0.23761496227826795,-0.5704531870980963,0.07827558705203486,0.35343413142335905
primary_traceable,source_trained__corrected_strict__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.4661807116291096,0.32489740078142254,0.24127911210405933,-0.637332491182032,-0.02310698259658218,0.3776998969063351
freshness_180,corrected_primary_source_raw,1236,22,479,0.38754045307443363,estimated,0.4992016061643174,0.3766824169789304,0.5123365539771378,-0.6516041069728884,0.050853279938320936,0.8566648594732853
freshness_180,corrected_primary_source_intercept_recalibrated,1236,22,479,0.38754045307443363,estimated,0.4992016061643174,0.3766824169789304,0.4010352293939238,-0.4813465524650274,0.050660309222245785,0.6469560759710503
freshness_180,corrected_primary_source_logistic_recalibrated,1236,22,479,0.38754045307443363,estimated,0.5007983938356825,0.37250017639645744,0.23987483328479348,-1.0550990987581823,-1.1651484276262665,0.3753184186437343
freshness_180,corrected_strict_source_raw,1236,22,479,0.38754045307443363,estimated,0.49984142436769685,0.3770012660262517,0.5132795716687786,-0.658086749533124,0.0516761658377751,0.8585421533121662
freshness_180,corrected_strict_source_intercept_recalibrated,1236,22,479,0.38754045307443363,estimated,0.49984142436769685,0.3770012660262516,0.40148642488555264,-0.4818791044898769,0.05149542064330791,0.648683117265271
freshness_180,corrected_strict_source_logistic_recalibrated,1236,22,479,0.38754045307443363,estimated,0.5001585756323031,0.3720736327501943,0.23988477283180593,-1.0720237285565335,-1.1977051588116576,0.3752760485387863
freshness_180,target_native_refit,1236,22,479,0.38754045307443363,estimated,0.6032851355339035,0.4699542328944449,0.23367353958099793,-0.2526367429427472,0.5476653346723626,0.4116552803705037
freshness_180,target_native__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.5958996478242045,0.4812249198340523,0.23327397578570205,-0.2662698855145306,0.8047016431105212,0.4399880125976917
freshness_180,target_native__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.6097412321464522,0.4842047666226391,0.23332041180357296,-0.28741011532283395,0.5902599377156947,0.43108137190192347
freshness_180,source_trained__corrected_primary__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.5271660741913333,0.42158797713462814,0.2443940835306063,-0.3107671825201999,0.21549527523534098,0.353086830871382
freshness_180,source_trained__corrected_primary__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.5011486391452912,0.38809203822294136,0.2443108018192316,-0.3629964358914987,0.16456551191297583,0.37557961282222807
freshness_180,source_trained__corrected_strict__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.5271467693317485,0.4215173357480951,0.24389824479184175,-0.311551993469527,0.2228599016155665,0.35821913004266154
freshness_180,source_trained__corrected_strict__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.5036499973800548,0.3903455865360338,0.24398055852658002,-0.360252989217518,0.17442624331554898,0.3790222705782449
gap_60,corrected_primary_source_raw,1839,37,482,0.26209896682979883,estimated,0.507032843378578,0.25628395574068663,0.5790210451635995,-1.173478110600032,0.03922789276696493,0.8188630617759927
gap_60,corrected_primary_source_intercept_recalibrated,1839,37,482,0.26209896682979883,estimated,0.507032843378578,0.25628395574068663,0.33573919766713783,-1.00604341048348,0.03890311532685998,0.48705908758956085
gap_60,corrected_primary_source_logistic_recalibrated,1839,37,482,0.26209896682979883,estimated,0.4929671566214221,0.25316859734961655,0.19418933447725445,-20.971487277148462,-22.186932596731637,0.28937326997182106
gap_60,corrected_strict_source_raw,1839,37,482,0.26209896682979883,estimated,0.5072835795338142,0.25574678119508604,0.5802763383368305,-1.1771802644268388,0.039538089287465834,0.8210487680431902
gap_60,corrected_strict_source_intercept_recalibrated,1839,37,482,0.26209896682979883,estimated,0.5072835795338142,0.255746781195086,0.3351178784085597,-1.0053424102583257,0.03921697691410488,0.48723338473056793
gap_60,corrected_strict_source_logistic_recalibrated,1839,37,482,0.26209896682979883,estimated,0.4927164204661857,0.253309057069231,0.19418678792870692,-32.17751460773461,-34.701877316106994,0.28959738365448906
gap_60,target_native_refit,1839,37,482,0.26209896682979883,estimated,0.5858343245565487,0.32346265023026277,0.1919687574220573,-0.5736361336250145,0.43322654758022017,0.26519113050077053
gap_60,target_native__harmonized_last_values,1839,37,482,0.26209896682979883,estimated,0.5884945740084455,0.33487499526960307,0.1911084151808158,-0.5189297460178957,0.5604432505604341,0.2880300883867616
gap_60,target_native__harmonized_dynamic_vitals,1839,37,482,0.26209896682979883,estimated,0.5910890816635427,0.3381246320153508,0.19125175145788972,-0.5609162475481473,0.49066996525134865,0.2826595939698685
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,1839,37,482,0.26209896682979883,estimated,0.5241914523433129,0.2828883049466193,0.20880692756622213,-0.9553164657070516,0.11772657458121502,0.35147980477194385
gap_60,source_trained__corrected_primary__harmonized_last_values,1839,37,482,0.26209896682979883,estimated,0.4905102480759058,0.25128354096495953,0.2163644780879151,-1.0410372667596042,-0.010619871079407492,0.3791210627290734
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,1839,37,482,0.26209896682979883,estimated,0.5243657445487819,0.2829929644443588,0.20962945549551487,-0.9559576400721891,0.12148503794470751,0.3568618490517614
gap_60,source_trained__corrected_strict__harmonized_last_values,1839,37,482,0.26209896682979883,estimated,0.49302984066023114,0.2530778288752046,0.21702635740086473,-1.0370949748518568,-0.0036932293011819133,0.38259579229525986
