variant,model,calibration_max_abs_difference
primary_traceable,corrected_primary_source_raw,4.172784340283897e-11
primary_traceable,corrected_primary_source_intercept_recalibrated,6.653622097729794e-11
primary_traceable,corrected_primary_source_logistic_recalibrated,1.097829294138819e-08
primary_traceable,corrected_strict_source_raw,1.738076349511175e-10
primary_traceable,corrected_strict_source_intercept_recalibrated,7.704339721748e-09
primary_traceable,corrected_strict_source_logistic_recalibrated,4.8875415714633164e-08
primary_traceable,target_native_refit,4.4456860415209576e-10
primary_traceable,target_native__harmonized_last_values,3.254809755048882e-10
primary_traceable,target_native__harmonized_dynamic_vitals,1.5353224247505182e-09
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,2.357400941122023e-10
primary_traceable,source_trained__corrected_primary__harmonized_last_values,3.4342084731520117e-10
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,5.323565060999513e-10
primary_traceable,source_trained__corrected_strict__harmonized_last_values,4.476520265583872e-10
freshness_180,corrected_primary_source_raw,1.8418822023136272e-11
freshness_180,corrected_primary_source_intercept_recalibrated,1.510352953815186e-11
freshness_180,corrected_primary_source_logistic_recalibrated,2.1320005538782993e-08
freshness_180,corrected_strict_source_raw,3.015757643609618e-10
freshness_180,corrected_strict_source_intercept_recalibrated,1.871613974913089e-11
freshness_180,corrected_strict_source_logistic_recalibrated,8.317804223167968e-10
freshness_180,target_native_refit,3.6838143646633625e-11
freshness_180,target_native__harmonized_last_values,3.8919334421905205e-10
freshness_180,target_native__harmonized_dynamic_vitals,2.1091328683553456e-10
freshness_180,source_trained__corrected_primary__harmonized_dynamic_vitals,2.7449553741121235e-10
freshness_180,source_trained__corrected_primary__harmonized_last_values,1.6181578577079136e-09
freshness_180,source_trained__corrected_strict__harmonized_dynamic_vitals,1.3560486067376587e-10
freshness_180,source_trained__corrected_strict__harmonized_last_values,1.2593577014552437e-09
gap_60,corrected_primary_source_raw,7.21906245892967e-09
gap_60,corrected_primary_source_intercept_recalibrated,3.0677571594139863e-10
gap_60,corrected_primary_source_logistic_recalibrated,3.151588536809413e-07
gap_60,corrected_strict_source_raw,2.41104913811796e-10
gap_60,corrected_strict_source_intercept_recalibrated,3.588616070970829e-10
gap_60,corrected_strict_source_logistic_recalibrated,2.328102723936354e-07
gap_60,target_native_refit,1.9953994012666953e-10
gap_60,target_native__harmonized_last_values,6.123966778126544e-09
gap_60,target_native__harmonized_dynamic_vitals,4.5237924517493866e-11
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,4.159533828484996e-12
gap_60,source_trained__corrected_primary__harmonized_last_values,3.0450527516157067e-09
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,5.902015959291518e-10
gap_60,source_trained__corrected_strict__harmonized_last_values,1.5066356083733023e-09
