variant,partition,status,included,n
freshness_180,adaptation_development,indeterminate_death_or_discharge_proxy_conflict,False,278
freshness_180,adaptation_development,indeterminate_freshness_expired_state_at_origin,False,581
freshness_180,adaptation_development,indeterminate_freshness_six_hour_exposure_not_supported,False,1451
freshness_180,adaptation_development,indeterminate_missing_hospital_status,False,20
freshness_180,adaptation_development,indeterminate_observation,False,394
freshness_180,adaptation_development,invalid_death_proxy_before_origin,False,1
freshness_180,adaptation_development,invalid_death_proxy_equal_origin,False,3
freshness_180,adaptation_development,invalid_freshness_nonzero_at_origin,False,5
freshness_180,adaptation_development,invalid_or_indeterminate_restart_source,False,1
freshness_180,adaptation_development,invalid_origin_outside_unit,False,38
freshness_180,adaptation_development,no_recorded_restart_or_death_proxy_under_observation,True,884
freshness_180,adaptation_development,recorded_death_proxy_first,True,55
freshness_180,adaptation_development,recorded_restart_first,True,723
freshness_180,locked_evaluation,indeterminate_death_or_discharge_proxy_conflict,False,100
freshness_180,locked_evaluation,indeterminate_freshness_expired_state_at_origin,False,346
freshness_180,locked_evaluation,indeterminate_freshness_no_states,False,1
freshness_180,locked_evaluation,indeterminate_freshness_six_hour_exposure_not_supported,False,678
freshness_180,locked_evaluation,indeterminate_missing_hospital_status,False,25
freshness_180,locked_evaluation,indeterminate_observation,False,208
freshness_180,locked_evaluation,invalid_death_proxy_equal_origin,False,3
freshness_180,locked_evaluation,invalid_freshness_nonzero_at_origin,False,5
freshness_180,locked_evaluation,invalid_origin_outside_unit,False,20
freshness_180,locked_evaluation,no_recorded_restart_or_death_proxy_under_observation,True,720
freshness_180,locked_evaluation,recorded_death_proxy_first,True,37
freshness_180,locked_evaluation,recorded_restart_first,True,479
freshness_180,recalibration,indeterminate_death_or_discharge_proxy_conflict,False,52
freshness_180,recalibration,indeterminate_freshness_expired_state_at_origin,False,153
freshness_180,recalibration,indeterminate_freshness_six_hour_exposure_not_supported,False,843
freshness_180,recalibration,indeterminate_missing_hospital_status,False,29
freshness_180,recalibration,indeterminate_observation,False,100
freshness_180,recalibration,invalid_alive_discharge_before_origin,False,1
freshness_180,recalibration,invalid_death_proxy_before_origin,False,1
freshness_180,recalibration,invalid_death_proxy_equal_origin,False,3
freshness_180,recalibration,invalid_freshness_nonzero_at_origin,False,2
freshness_180,recalibration,invalid_origin_outside_unit,False,17
freshness_180,recalibration,no_recorded_restart_or_death_proxy_under_observation,True,319
freshness_180,recalibration,recorded_death_proxy_first,True,16
freshness_180,recalibration,recorded_restart_first,True,218
gap_60,adaptation_development,indeterminate_death_or_discharge_proxy_conflict,False,278
gap_60,adaptation_development,indeterminate_minimum_stop_interval,False,32
gap_60,adaptation_development,indeterminate_missing_hospital_status,False,20
gap_60,adaptation_development,indeterminate_observation,False,789
gap_60,adaptation_development,invalid_death_proxy_before_origin,False,1
gap_60,adaptation_development,invalid_death_proxy_equal_origin,False,3
gap_60,adaptation_development,invalid_minimum_stop_interval,False,423
gap_60,adaptation_development,invalid_or_indeterminate_restart_source,False,2
gap_60,adaptation_development,invalid_origin_outside_unit,False,38
gap_60,adaptation_development,no_recorded_restart_or_death_proxy_under_observation,True,1950
gap_60,adaptation_development,recorded_death_proxy_first,True,75
gap_60,adaptation_development,recorded_restart_first,True,823
gap_60,locked_evaluation,indeterminate_death_or_discharge_proxy_conflict,False,100
gap_60,locked_evaluation,indeterminate_minimum_stop_interval,False,20
gap_60,locked_evaluation,indeterminate_missing_hospital_status,False,25
gap_60,locked_evaluation,indeterminate_observation,False,362
gap_60,locked_evaluation,invalid_death_proxy_equal_origin,False,3
gap_60,locked_evaluation,invalid_minimum_stop_interval,False,252
gap_60,locked_evaluation,invalid_or_indeterminate_restart_source,False,1
gap_60,locked_evaluation,invalid_origin_outside_unit,False,20
gap_60,locked_evaluation,no_recorded_restart_or_death_proxy_under_observation,True,1314
gap_60,locked_evaluation,recorded_death_proxy_first,True,43
gap_60,locked_evaluation,recorded_restart_first,True,482
gap_60,recalibration,indeterminate_death_or_discharge_proxy_conflict,False,52
gap_60,recalibration,indeterminate_minimum_stop_interval,False,13
gap_60,recalibration,indeterminate_missing_hospital_status,False,29
gap_60,recalibration,indeterminate_observation,False,270
gap_60,recalibration,invalid_alive_discharge_before_origin,False,1
gap_60,recalibration,invalid_death_proxy_before_origin,False,1
gap_60,recalibration,invalid_death_proxy_equal_origin,False,3
gap_60,recalibration,invalid_minimum_stop_interval,False,113
gap_60,recalibration,invalid_origin_outside_unit,False,17
gap_60,recalibration,no_recorded_restart_or_death_proxy_under_observation,True,854
gap_60,recalibration,recorded_death_proxy_first,True,37
gap_60,recalibration,recorded_restart_first,True,364
primary_traceable,adaptation_development,indeterminate_death_or_discharge_proxy_conflict,False,278
primary_traceable,adaptation_development,indeterminate_missing_hospital_status,False,20
primary_traceable,adaptation_development,indeterminate_observation,False,795
primary_traceable,adaptation_development,invalid_death_proxy_before_origin,False,1
primary_traceable,adaptation_development,invalid_death_proxy_equal_origin,False,3
primary_traceable,adaptation_development,invalid_or_indeterminate_restart_source,False,2
primary_traceable,adaptation_development,invalid_origin_outside_unit,False,38
primary_traceable,adaptation_development,no_recorded_restart_or_death_proxy_under_observation,True,1950
primary_traceable,adaptation_development,recorded_death_proxy_first,True,101
