model,n,max_absolute_prediction_difference,tolerance,judgement
primary_traceable__primary_intercept,2104,0.0,1e-10,match
primary_traceable__primary_logistic,2104,0.0,1e-10,match
primary_traceable__strict_intercept,2104,0.0,1e-10,match
primary_traceable__strict_logistic,2104,0.0,1e-10,match
primary_traceable__target_native_refit,2104,2.4424906541753444e-15,1e-10,match
primary_traceable__target_native__harmonized_last_values,2104,4.440892098500626e-16,1e-10,match
primary_traceable__target_native__harmonized_dynamic_vitals,2104,4.440892098500626e-16,1e-10,match
freshness_180__primary_intercept,1236,0.0,1e-10,match
freshness_180__primary_logistic,1236,0.0,1e-10,match
freshness_180__strict_intercept,1236,0.0,1e-10,match
freshness_180__strict_logistic,1236,0.0,1e-10,match
freshness_180__target_native_refit,1236,1.7763568394002505e-15,1e-10,match
freshness_180__target_native__harmonized_last_values,1236,6.661338147750939e-16,1e-10,match
freshness_180__target_native__harmonized_dynamic_vitals,1236,8.881784197001252e-16,1e-10,match
gap_60__primary_intercept,1839,0.0,1e-10,match
gap_60__primary_logistic,1839,0.0,1e-10,match
gap_60__strict_intercept,1839,0.0,1e-10,match
gap_60__strict_logistic,1839,0.0,1e-10,match
gap_60__target_native_refit,1839,5.551115123125783e-16,1e-10,match
gap_60__target_native__harmonized_last_values,1839,3.3306690738754696e-16,1e-10,match
gap_60__target_native__harmonized_dynamic_vitals,1839,1.2212453270876722e-15,1e-10,match
