variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
gap_60,corrected_primary_source_raw,auroc,0.507032843378578,0.4690494514447112,0.5369445563704778,1000,1000
gap_60,corrected_primary_source_raw,auprc,0.25628395574068663,0.20503769209001865,0.29735047760156447,1000,1000
gap_60,corrected_primary_source_raw,brier,0.5790210451635995,0.48169792875810385,0.6395645649218739,1000,1000
gap_60,corrected_primary_source_raw,calibration_intercept,-1.173478110600032,-1.411639654105104,-0.9278027243532082,1000,1000
gap_60,corrected_primary_source_raw,calibration_slope,0.03922789276696493,-0.01698331638387313,0.0849286586030101,1000,1000
gap_60,corrected_primary_source_raw,mean_predicted_risk,0.8188630617759927,0.6659024558980923,0.9071455967443746,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,auroc,0.507032843378578,0.4690494514447112,0.5369445563704778,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,auprc,0.25628395574068663,0.20503769209001865,0.2973504776015645,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,brier,0.33573919766713783,0.2877717303664614,0.3649190699009131,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,calibration_intercept,-1.00604341048348,-1.2881378591593795,-0.8290551190335009,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,calibration_slope,0.03890311532685998,-0.019693295829437275,0.08526678951673097,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,mean_predicted_risk,0.48705908758956085,0.323234606946691,0.585284119332707,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,auroc,0.4929671566214221,0.46305544362952233,0.5309505485552888,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,auprc,0.25316859734961655,0.21175084639755581,0.29948386407171584,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,brier,0.19418933447725445,0.17318777280107547,0.21008597968560158,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,calibration_intercept,-20.971487277148462,-44.22057416351594,7.475331736009408,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,calibration_slope,-22.186932596731637,-48.03232131619199,9.605054953090617,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,mean_predicted_risk,0.28937326997182106,0.2890655103399696,0.28989164664088485,1000,1000
gap_60,corrected_strict_source_raw,auroc,0.5072835795338142,0.4692742204267557,0.5376990293040098,1000,1000
gap_60,corrected_strict_source_raw,auprc,0.25574678119508604,0.2055240264334467,0.29672336283722006,1000,1000
gap_60,corrected_strict_source_raw,brier,0.5802763383368305,0.4829059493165501,0.6409195766691781,1000,1000
gap_60,corrected_strict_source_raw,calibration_intercept,-1.1771802644268388,-1.4157194273641038,-0.9311024239508408,1000,1000
gap_60,corrected_strict_source_raw,calibration_slope,0.039538089287465834,-0.016511807130016428,0.08516730615740349,1000,1000
gap_60,corrected_strict_source_raw,mean_predicted_risk,0.8210487680431902,0.6693215331452881,0.9087823981733452,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,auroc,0.5072835795338142,0.4692742204267557,0.5376990293040098,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,auprc,0.255746781195086,0.20552402643344672,0.29672336283722006,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,brier,0.3351178784085597,0.2877890929726141,0.36347136531990076,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,calibration_intercept,-1.0053424102583257,-1.2875721857626818,-0.8287871903767663,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,calibration_slope,0.03921697691410488,-0.019206205318607655,0.08556817958709456,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,mean_predicted_risk,0.48723338473056793,0.3233960021597751,0.5848310235608347,1000,1000
gap_60,corrected_strict_source_logistic_recalibrated,auroc,0.4927164204661857,0.46230097069599024,0.5307257795732443,1000,1000
gap_60,corrected_strict_source_logistic_recalibrated,auprc,0.253309057069231,0.2116931290205101,0.3005806719653689,1000,1000
gap_60,corrected_strict_source_logistic_recalibrated,brier,0.19418678792870692,0.17321062081408503,0.21007784398097099,1000,1000
