variant,model,reference,metric,estimate,ci_low,ci_high,valid_replicates
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,auroc,0.0,0.0,0.0,1000
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,auprc,0.0,-5.551115123125783e-17,5.551115123125783e-17,1000
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,brier,-0.2432818474964617,-0.2797414428865119,-0.1839276189242912,1000
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,calibration_intercept,0.16743470011655215,-0.07689451898758037,0.3631057384256463,1000
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,calibration_slope,-0.0003247774401049508,-0.0024714159325040217,0.00021226289344055465,1000
gap_60,corrected_primary_source_intercept_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.3318039741864318,-0.3548142402543982,-0.31897504950431865,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,auroc,-0.014065686757155915,-0.07388911274095541,0.061901097110577605,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,auprc,-0.0031153583910700777,-0.03873649666491518,0.03887158187061277,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,brier,-0.3848317106863451,-0.44405818867244684,-0.2985303358881593,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,calibration_intercept,-19.79800916654843,-42.86054059532789,8.570853740840814,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,calibration_slope,-22.226160489498604,-48.11724997479501,9.62203826947449,1000
gap_60,corrected_primary_source_logistic_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.5294897918041717,-0.6180798241978878,-0.3760138786491431,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,auroc,0.0002507361552361864,-0.0005754576433640634,0.0009349729725450377,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,auprc,-0.0005371745456005939,-0.002572459347352915,0.0011254181364835786,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,brier,0.0012552931732309203,0.0010511552435123971,0.0015338395667320536,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,calibration_intercept,-0.00370215382680672,-0.0077491376655291315,4.7032328887901315e-05,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,calibration_slope,0.00031019652050090496,-0.0003643998040571986,0.0011162613251847245,1000
gap_60,corrected_strict_source_raw,corrected_primary_source_raw,mean_predicted_risk,0.002185706267197496,0.0015360594001491367,0.0033394758481454677,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,auroc,0.0002507361552361864,-0.0005754576433640634,0.0009349729725450377,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,auprc,-0.0005371745456006494,-0.002572459347352914,0.0011254181364835514,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,brier,-0.2439031667550398,-0.2806996711718994,-0.18397335583335733,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,calibration_intercept,0.16813570034170633,-0.07632677237774314,0.3634025073219197,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,calibration_slope,-1.0915852860046704e-05,-0.0021221890578403935,0.0009380851899305751,1000
gap_60,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.33162967704542473,-0.3545237503231071,-0.31915058472259106,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,auroc,-0.014316422912392324,-0.07464358567448752,0.0616763281285331,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,auprc,-0.002974898671455617,-0.0387608988585917,0.04007927278378484,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,brier,-0.3848342572348926,-0.44405180432511904,-0.2985391218685334,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,calibration_intercept,-31.004036497134575,-66.77114776933603,12.944386408485675,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,calibration_slope,-34.74110520887396,-74.82407906166951,14.507141228240947,1000
gap_60,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.5292656781215036,-0.6177470349255193,-0.3759709228045014,1000
gap_60,target_native_refit,corrected_primary_source_raw,auroc,0.0788014811779707,0.035197740121963826,0.116703062220834,1000
gap_60,target_native_refit,corrected_primary_source_raw,auprc,0.06717869448957614,0.02820787347800443,0.1018917324944585,1000
gap_60,target_native_refit,corrected_primary_source_raw,brier,-0.3870522877415422,-0.4476471628835258,-0.29769369286613884,1000
gap_60,target_native_refit,corrected_primary_source_raw,calibration_intercept,0.5998419769750175,0.2711745643961805,0.8522239357308993,1000
gap_60,target_native_refit,corrected_primary_source_raw,calibration_slope,0.39399865481325524,0.15552031166160807,0.6113525189655683,1000
gap_60,target_native_refit,corrected_primary_source_raw,mean_predicted_risk,-0.5536719312752221,-0.6445482959775686,-0.3999671887476791,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,auroc,0.0814617306298675,0.03945992709665856,0.13396615743441512,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,auprc,0.07859103952891644,0.043845510170231014,0.11979079757661336,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,brier,-0.38791262998278375,-0.4468219537707264,-0.30065084372834494,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.6545483645821364,0.2800148014961867,0.9528528916264197,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,calibration_slope,0.5212153577934692,0.17652666951462587,0.8546433652701882,1000
gap_60,target_native__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.5308329733892311,-0.6193149797551369,-0.3784670813943859,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.08405623828496467,0.04452466115402649,0.1160862060732827,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.08184067627466418,0.04711671746858586,0.11091557759112804,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.3877692937057098,-0.44716611527744665,-0.29964687491202463,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.6125618630518848,0.27925936626849307,0.8564058665260404,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.4514420724843837,0.21394046361400004,0.6655427307497728,1000
gap_60,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.5362034678061242,-0.6210448430218224,-0.3930251278534404,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.017158608964734867,-0.011294853937509968,0.04417483355851578,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.026604349205932687,0.00205432028121686,0.049173754103245794,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.37021411759737743,-0.4288668343729297,-0.28098224078630313,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.2181616448929804,-0.07246113396403679,0.443519042418113,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.0784986818142501,-0.08384460648902556,0.2040017729373897,1000
gap_60,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.4673832570040488,-0.5501734425180134,-0.3246371782970933,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,auroc,-0.016522595302672194,-0.05640096175794112,0.024654273504319504,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,auprc,-0.005000414775727102,-0.029653367866485633,0.020253746387640523,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,brier,-0.36265656707568444,-0.42286247921509884,-0.2696034215199039,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.13244084384042787,-0.1409462278831635,0.3527545610995676,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,calibration_slope,-0.04984776384637242,-0.23468743899039188,0.09224347082500824,1000
gap_60,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.43974199904691924,-0.528502022780412,-0.2863599717871779,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.017332901170203918,-0.010433575295713189,0.0439643705162339,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.026709008703672155,0.0021747908871032383,0.04939358275928455,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.36939158966808466,-0.42784486072472094,-0.2797216058336054,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.21752047052784296,-0.06674587513689972,0.4412902467811449,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.08225714517774257,-0.07874960819948941,0.21074209211049816,1000
gap_60,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.4620012127242313,-0.544565490596836,-0.31917486716453464,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,auroc,-0.014003002718346869,-0.05375101357919189,0.026637684096995913,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,auprc,-0.0032061268654820507,-0.027976147027502174,0.022154810683661243,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,brier,-0.3619946877627348,-0.4222409337405074,-0.2690226332538029,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.1363831357481753,-0.1320526650809985,0.35436476625524654,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,calibration_slope,-0.04292112206814684,-0.2245879780391281,0.10151033960759981,1000
gap_60,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.4362672694807328,-0.5250226175202407,-0.28308112371121347,1000
