partition,old_outcome,status,n
adaptation_development,death_first,indeterminate_death_or_discharge_proxy_conflict,7
adaptation_development,death_first,recorded_restart_first,15
adaptation_development,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,34
adaptation_development,durable_liberation_alive,indeterminate_missing_hospital_status,2
adaptation_development,durable_liberation_alive,invalid_origin_outside_unit,2
adaptation_development,durable_liberation_alive,recorded_restart_first,349
locked_evaluation,death_first,indeterminate_death_or_discharge_proxy_conflict,4
locked_evaluation,death_first,recorded_restart_first,14
locked_evaluation,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,5
locked_evaluation,durable_liberation_alive,indeterminate_missing_hospital_status,1
locked_evaluation,durable_liberation_alive,invalid_or_indeterminate_restart_source,1
locked_evaluation,durable_liberation_alive,invalid_origin_outside_unit,3
locked_evaluation,durable_liberation_alive,recorded_restart_first,174
recalibration,death_first,indeterminate_death_or_discharge_proxy_conflict,3
recalibration,death_first,recorded_restart_first,5
recalibration,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,9
recalibration,durable_liberation_alive,indeterminate_missing_hospital_status,3
recalibration,durable_liberation_alive,recorded_restart_first,107
