analysis,model,outcome,metric,estimate,ci_low,ci_high
scope_corrected_primary,harmonized_dynamic_vitals,durable_liberation_alive,auroc,0.6743983818219625,0.6339921160103467,0.7130852333061313
scope_corrected_primary,harmonized_dynamic_vitals,durable_liberation_alive,auprc,0.4672205486703905,0.4076767166429689,0.5324249510041958
scope_corrected_primary,harmonized_dynamic_vitals,durable_liberation_alive,brier,0.21885066428012842,0.20958035914832854,0.22859371373599865
scope_corrected_primary,harmonized_dynamic_vitals,restart_first,auroc,0.6726541327913278,0.6336777960712932,0.7118428050369788
scope_corrected_primary,harmonized_dynamic_vitals,restart_first,auprc,0.6078442400432313,0.5531779755954072,0.6669852481087534
scope_corrected_primary,harmonized_dynamic_vitals,restart_first,brier,0.23078754812304547,0.2200166623597415,0.24162151084187314
scope_corrected_primary,harmonized_dynamic_vitals,death_first,auroc,0.903521923248902,0.8690376572268763,0.9333839460810528
scope_corrected_primary,harmonized_dynamic_vitals,death_first,auprc,0.7993523833641488,0.7314964152729191,0.8552024162667817
scope_corrected_primary,harmonized_dynamic_vitals,death_first,brier,0.0807101884646529,0.06586846732347981,0.09690379674349586
scope_corrected_primary,harmonized_last_values,durable_liberation_alive,auroc,0.6582638613206299,0.6169510699861971,0.6967747105045492
scope_corrected_primary,harmonized_last_values,durable_liberation_alive,auprc,0.45916829286560074,0.3990606514088809,0.5269343757365023
scope_corrected_primary,harmonized_last_values,durable_liberation_alive,brier,0.22132267786661497,0.21319975056171334,0.22981242887154218
scope_corrected_primary,harmonized_last_values,restart_first,auroc,0.6356368563685637,0.5942517067497414,0.6751329908525169
scope_corrected_primary,harmonized_last_values,restart_first,auprc,0.5602079695317574,0.5103139566902605,0.6210090562497104
scope_corrected_primary,harmonized_last_values,restart_first,brier,0.23543103914381802,0.2255566498820608,0.2454820216564171
scope_corrected_primary,harmonized_last_values,death_first,auroc,0.8943949078092532,0.8606592495502466,0.9246811379412504
scope_corrected_primary,harmonized_last_values,death_first,auprc,0.7704217794172761,0.7020254901684095,0.8294020460386112
scope_corrected_primary,harmonized_last_values,death_first,brier,0.08769197880950129,0.0723192753338586,0.10425087094341136
