analysis,threshold,model,net_benefit
scope_corrected_primary,0.2,treat_all,0.3305515239477504
scope_corrected_primary,0.2,treat_none,0.0
scope_corrected_primary,0.2,clinical_multinomial_logistic,0.3581277213352685
scope_corrected_primary,0.2,dynamic_multiclass_hgb,0.36538461538461536
scope_corrected_primary,0.2,dynamic_multinomial_logistic,0.3632075471698113
scope_corrected_primary,0.2,laboratory_extended_multiclass_hgb,0.3661103047895501
scope_corrected_primary,0.3,treat_all,0.23491602736885758
scope_corrected_primary,0.3,treat_none,0.0
scope_corrected_primary,0.3,clinical_multinomial_logistic,0.2892390628239685
scope_corrected_primary,0.3,dynamic_multiclass_hgb,0.27721335268505076
scope_corrected_primary,0.3,dynamic_multinomial_logistic,0.28115280945469623
scope_corrected_primary,0.3,laboratory_extended_multiclass_hgb,0.2809454696247149
scope_corrected_primary,0.4,treat_all,0.10740203193033382
scope_corrected_primary,0.4,treat_none,0.0
scope_corrected_primary,0.4,clinical_multinomial_logistic,0.1533623609095307
scope_corrected_primary,0.4,dynamic_multiclass_hgb,0.13739719400096756
scope_corrected_primary,0.4,dynamic_multinomial_logistic,0.15578132559264635
scope_corrected_primary,0.4,laboratory_extended_multiclass_hgb,0.13352685050798258
scope_corrected_primary,0.5,treat_all,-0.07111756168359934
scope_corrected_primary,0.5,treat_none,0.0
scope_corrected_primary,0.5,clinical_multinomial_logistic,0.0
scope_corrected_primary,0.5,dynamic_multiclass_hgb,0.03193033381712626
scope_corrected_primary,0.5,dynamic_multinomial_logistic,0.04499274310595065
scope_corrected_primary,0.5,laboratory_extended_multiclass_hgb,0.031930333817126275
