analysis,model,outcome,metric,estimate,ci_low,ci_high
scope_corrected_primary,clinical_multinomial_logistic,durable_liberation_alive,auroc,0.6676307680674493,0.6265245031329628,0.7041130597618988
scope_corrected_primary,clinical_multinomial_logistic,durable_liberation_alive,auprc,0.4583889390777861,0.39787761304739194,0.524540948464151
scope_corrected_primary,clinical_multinomial_logistic,durable_liberation_alive,brier,0.21441021197164636,0.20599844958174818,0.22366876043493827
scope_corrected_primary,clinical_multinomial_logistic,restart_first,auroc,0.6582401761517614,0.6173102444426468,0.6973149450641778
scope_corrected_primary,clinical_multinomial_logistic,restart_first,auprc,0.557523651345377,0.5053481150578445,0.6199350940601588
scope_corrected_primary,clinical_multinomial_logistic,restart_first,brier,0.22894838202731846,0.21912374314507596,0.23951437186255345
scope_corrected_primary,clinical_multinomial_logistic,death_first,auroc,0.9495383887003866,0.9229778680814043,0.9714046106804087
scope_corrected_primary,clinical_multinomial_logistic,death_first,auprc,0.903582164206568,0.8618128656686183,0.940375820314863
scope_corrected_primary,clinical_multinomial_logistic,death_first,brier,0.048125595454888384,0.035586873214713995,0.06179843642518206
scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,auroc,0.6646533960944442,0.6230723866570292,0.7033370277002007
scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,auprc,0.43861545608309777,0.3820848927828188,0.504563104016722
scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,brier,0.218725582595603,0.2070313855465784,0.2315929538770532
scope_corrected_primary,dynamic_multiclass_hgb,restart_first,auroc,0.6706978319783198,0.6310286003099019,0.7106709142500947
scope_corrected_primary,dynamic_multiclass_hgb,restart_first,auprc,0.5822457823183352,0.5311612717693749,0.6442572303562984
scope_corrected_primary,dynamic_multiclass_hgb,restart_first,brier,0.228421072877169,0.21670220675992452,0.24064251844157591
scope_corrected_primary,dynamic_multiclass_hgb,death_first,auroc,0.9716720587074883,0.9540057120112313,0.9853016478836433
scope_corrected_primary,dynamic_multiclass_hgb,death_first,auprc,0.9342994224461495,0.8962912745031403,0.96380094902267
scope_corrected_primary,dynamic_multiclass_hgb,death_first,brier,0.03714039071053482,0.026379356082358307,0.04936843406682718
scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,auroc,0.6998714531465624,0.661063852465266,0.7380306438483835
scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,auprc,0.4851062559052668,0.42198260287596445,0.5499414097196217
scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,brier,0.2113677281792322,0.20052826789570558,0.2226869851774699
scope_corrected_primary,dynamic_multinomial_logistic,restart_first,auroc,0.6950118563685637,0.6556835582042713,0.7334651742801679
scope_corrected_primary,dynamic_multinomial_logistic,restart_first,auprc,0.6126702517635736,0.5590475558971622,0.6752955309002646
scope_corrected_primary,dynamic_multinomial_logistic,restart_first,brier,0.22281409156684964,0.211654528825077,0.23409453536559222
scope_corrected_primary,dynamic_multinomial_logistic,death_first,auroc,0.9612430626791867,0.9403282523839133,0.9789007392194502
scope_corrected_primary,dynamic_multinomial_logistic,death_first,auprc,0.9216044515102659,0.8832287800990033,0.9531345441718393
scope_corrected_primary,dynamic_multinomial_logistic,death_first,brier,0.04089645034173113,0.029224525890942148,0.05385087820677231
scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,auroc,0.6746913930320043,0.6351427686800439,0.7130648418904052
scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,auprc,0.46528315945353527,0.4074336079830002,0.526331305106755
scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,brier,0.21544340705992793,0.20380182788760004,0.2277449866022894
scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,auroc,0.6798102981029811,0.6401959329169202,0.7180615999654023
scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,auprc,0.5938507270623476,0.5425049091128119,0.6576657824265933
scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,brier,0.225992499134666,0.21391810103653455,0.23834279160924843
scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,auroc,0.9782740208842946,0.9655659178390998,0.9883073541311259
scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,auprc,0.9458109526912482,0.9169550971650198,0.9679006307398288
scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,brier,0.03713585207168537,0.02614630859222715,0.049422700349296446
