analysis,model,outcome,metric,estimate,ci_low,ci_high
scope_corrected_strict,harmonized_dynamic_vitals,durable_liberation_alive,auroc,0.6680839576162516,0.6266899089497047,0.707250774515518
scope_corrected_strict,harmonized_dynamic_vitals,durable_liberation_alive,auprc,0.4671031910829938,0.4086324424984673,0.5340814082777527
scope_corrected_strict,harmonized_dynamic_vitals,durable_liberation_alive,brier,0.22162116665866013,0.21210403329445124,0.2314099725470832
scope_corrected_strict,harmonized_dynamic_vitals,restart_first,auroc,0.6677690972222223,0.626031141394575,0.7093154520192737
scope_corrected_strict,harmonized_dynamic_vitals,restart_first,auprc,0.6105454176836134,0.5516670881204528,0.6718743868525554
scope_corrected_strict,harmonized_dynamic_vitals,restart_first,brier,0.232576051885976,0.22237322127217818,0.24336845853976774
scope_corrected_strict,harmonized_dynamic_vitals,death_first,auroc,0.8969597208739571,0.8606385216897894,0.9283702041296977
scope_corrected_strict,harmonized_dynamic_vitals,death_first,auprc,0.7837771852109252,0.7137129101256208,0.8453869764670857
scope_corrected_strict,harmonized_dynamic_vitals,death_first,brier,0.07867103025514394,0.06429200102227904,0.09435789659316697
scope_corrected_strict,harmonized_last_values,durable_liberation_alive,auroc,0.6533904106287179,0.6125726630222046,0.693073957028235
scope_corrected_strict,harmonized_last_values,durable_liberation_alive,auprc,0.4618005577825324,0.4006962470614609,0.5252963294282211
scope_corrected_strict,harmonized_last_values,durable_liberation_alive,brier,0.2237026506277697,0.2153624595824051,0.23236220665103854
scope_corrected_strict,harmonized_last_values,restart_first,auroc,0.6300520833333334,0.5861291256013735,0.6715321109644307
scope_corrected_strict,harmonized_last_values,restart_first,auprc,0.5651924002054294,0.5092770823550448,0.6282953734976072
scope_corrected_strict,harmonized_last_values,restart_first,brier,0.23705267036128297,0.22777547355983702,0.24692038347057327
scope_corrected_strict,harmonized_last_values,death_first,auroc,0.8903051534208416,0.8559299022533543,0.9208730276912095
scope_corrected_strict,harmonized_last_values,death_first,auprc,0.758023649511866,0.6858905182564469,0.8195609625640002
scope_corrected_strict,harmonized_last_values,death_first,brier,0.08474178832701627,0.06971286538894614,0.10071652894729177
