analysis,threshold,model,net_benefit
scope_corrected_strict,0.2,treat_all,0.3382352941176471
scope_corrected_strict,0.2,treat_none,0.0
scope_corrected_strict,0.2,clinical_multinomial_logistic,0.3632352941176471
scope_corrected_strict,0.2,dynamic_multiclass_hgb,0.36875
scope_corrected_strict,0.2,dynamic_multinomial_logistic,0.3683823529411765
scope_corrected_strict,0.2,laboratory_extended_multiclass_hgb,0.3691176470588235
scope_corrected_strict,0.3,treat_all,0.2436974789915966
scope_corrected_strict,0.3,treat_none,0.0
scope_corrected_strict,0.3,clinical_multinomial_logistic,0.29432773109243693
scope_corrected_strict,0.3,dynamic_multiclass_hgb,0.28088235294117647
scope_corrected_strict,0.3,dynamic_multinomial_logistic,0.2838235294117647
scope_corrected_strict,0.3,laboratory_extended_multiclass_hgb,0.2792016806722689
scope_corrected_strict,0.4,treat_all,0.11764705882352938
scope_corrected_strict,0.4,treat_none,0.0
scope_corrected_strict,0.4,clinical_multinomial_logistic,0.16274509803921566
scope_corrected_strict,0.4,dynamic_multiclass_hgb,0.13823529411764704
scope_corrected_strict,0.4,dynamic_multinomial_logistic,0.16029411764705884
scope_corrected_strict,0.4,laboratory_extended_multiclass_hgb,0.142156862745098
scope_corrected_strict,0.5,treat_all,-0.05882352941176472
scope_corrected_strict,0.5,treat_none,0.0
scope_corrected_strict,0.5,clinical_multinomial_logistic,0.0
scope_corrected_strict,0.5,dynamic_multiclass_hgb,0.05294117647058824
scope_corrected_strict,0.5,dynamic_multinomial_logistic,0.048529411764705876
scope_corrected_strict,0.5,laboratory_extended_multiclass_hgb,0.04264705882352941
