old_outcome,status,included,records
death_first,indeterminate_death_or_discharge_proxy_conflict,False,121
death_first,indeterminate_observation,False,24
death_first,invalid_origin_outside_unit,False,11
death_first,recorded_death_proxy_first,True,204
death_first,recorded_restart_first,True,34
durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,False,211
durable_liberation_alive,indeterminate_missing_hospital_status,False,59
durable_liberation_alive,indeterminate_observation,False,1410
durable_liberation_alive,invalid_alive_discharge_before_origin,False,1
durable_liberation_alive,invalid_death_proxy_before_origin,False,1
durable_liberation_alive,invalid_death_proxy_equal_origin,False,9
durable_liberation_alive,invalid_or_indeterminate_restart_source,False,1
durable_liberation_alive,invalid_origin_outside_unit,False,51
durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,True,4118
durable_liberation_alive,recorded_restart_first,True,630
restart_first,indeterminate_death_or_discharge_proxy_conflict,False,98
restart_first,indeterminate_missing_hospital_status,False,15
restart_first,indeterminate_observation,False,3
restart_first,invalid_death_proxy_before_origin,False,1
restart_first,invalid_or_indeterminate_restart_source,False,2
restart_first,invalid_origin_outside_unit,False,13
restart_first,recorded_restart_first,True,1793
