competing_outcome,corrected_status,records
death_first,death_first,1475
durable_liberation_alive,durable_liberation_alive_confirmed,4336
durable_liberation_alive,indeterminate_incomplete_24h_observation,1768
durable_liberation_alive,indeterminate_missing_death_time,2
durable_liberation_alive,invalid_alive_discharge_before_origin,35
durable_liberation_alive,invalid_death_at_origin,62
durable_liberation_alive,invalid_death_before_origin,776
restart_first,indeterminate_incomplete_24h_observation,1
restart_first,indeterminate_missing_death_time,2
restart_first,invalid_alive_discharge_before_origin,1
restart_first,invalid_death_before_origin,13
restart_first,restart_first,3468
