database,variable,type,included_n,excluded_n,included_nonmissing,excluded_nonmissing,included_mean,excluded_mean,included_sd,excluded_sd,standardized_difference,included_missing_pct,excluded_missing_pct,absolute_standardized_difference
MIMIC-IV,"Age, years",continuous,9279,2660,9279,2660,67.16553507921112,66.13947368421053,14.693776363467935,14.640935663075597,0.06995533001650994,0.0,0.0,0.06995533001650994
MIMIC-IV,"Vasopressor episode duration, h",continuous,9279,2660,9279,2660,38.478855480116394,33.63417293233083,52.09510763661965,50.26317101516716,0.09464611734125554,0.0,0.0,0.09464611734125554
MIMIC-IV,"Last MAP, mmHg",continuous,9279,2660,8890,2487,74.85039370078741,68.48130277442702,14.971157719526472,18.024017236362425,0.3844199993908578,4.192262097208751,6.503759398496241,0.3844199993908578
MIMIC-IV,"Mean MAP, prior 6 h, mmHg",continuous,9279,2660,8890,2487,73.57902711703147,69.67396620050357,10.37049630691177,11.969944579966157,0.3487031501020267,4.192262097208751,6.503759398496241,0.3487031501020267
MIMIC-IV,"Last heart rate, beats/min",continuous,9279,2660,9275,2605,87.78458221024259,82.53627639155471,19.560866986924303,21.900099792513327,0.25276653358856255,0.04310809354456299,2.0676691729323307,0.25276653358856255
MIMIC-IV,"Mean heart rate, prior 6 h, beats/min",continuous,9279,2660,9275,2605,86.52498190952294,84.90731241547783,17.878105173699332,18.282504353974986,0.08946576756615152,0.04310809354456299,2.0676691729323307,0.08946576756615152
MIMIC-IV,"Last respiratory rate, breaths/min",continuous,9279,2660,9263,2594,20.500917629277772,20.260601387818042,6.094906757502944,6.565926415086312,0.03793590913274502,0.17243237417825197,2.481203007518797,0.03793590913274502
MIMIC-IV,"Last temperature, C",continuous,9279,2660,8122,2070,36.934319338422384,36.76844068706387,0.7254492163120939,0.8877030609123899,0.2046253090308817,12.469016057764845,22.18045112781955,0.2046253090308817
MIMIC-IV,Last norepinephrine-equivalent dose,continuous,9279,2660,9279,2660,0.10878519434120622,0.1549280950849586,0.24350608075569904,0.2994987861787702,-0.16905749537160913,0.0,0.0,0.16905749537160913
MIMIC-IV,"Mean norepinephrine-equivalent dose, prior 6 h",continuous,9279,2660,9279,2660,0.1298640611117309,0.20800120789487794,0.23822488796269373,0.3371325392171807,-0.2676860343907655,0.0,0.0,0.2676860343907655
MIMIC-IV,Distinct vasopressors in episode,continuous,9279,2660,9279,2660,1.615691346050221,1.7838345864661653,0.8840735526885675,1.0484152132038094,-0.1733914435924166,0.0,0.0,0.1733914435924166
MIMIC-IV,Modified shock index,continuous,9279,2660,8890,2486,1.2210885484604128,1.302554416863426,0.40217017895341833,0.5952181524212431,-0.1603818086366744,4.192262097208751,6.541353383458646,0.1603818086366744
MIMIC-IV,Female sex,binary,9279,2660,9279,2660,0.4164241836404785,0.37142857142857144,0.4929921657946928,0.4832775509067686,0.09218511198462924,0.0,0.0,0.09218511198462924
eICU,"Age, years",continuous,6779,2031,6779,2031,65.90205044991886,66.91875923190547,14.721847926079896,14.42865231141757,-0.06975230962115983,0.0,0.0,0.06975230962115983
eICU,"Vasopressor episode duration, h",continuous,6779,2031,6779,2031,41.03063873727689,36.853069095683566,52.84396723594664,53.771056721360665,0.07836440967814294,0.0,0.0,0.07836440967814294
eICU,"Last MAP, mmHg",continuous,6779,2031,6753,1985,76.09284762327854,74.39697732997482,15.18135229240064,16.112682558964462,0.10833500938696411,0.38353739489600236,2.2648941408173315,0.10833500938696411
eICU,"Mean MAP, prior 6 h, mmHg",continuous,6779,2031,6753,1985,75.9623774771715,74.59544240712322,10.69701135417234,10.683771518634675,0.12786573963161119,0.38353739489600236,2.2648941408173315,0.12786573963161119
eICU,"Last heart rate, beats/min",continuous,6779,2031,6755,1985,88.20207253886011,85.4896725440806,18.614232755808743,18.47931000687576,0.1462455106653422,0.3540345183655406,2.2648941408173315,0.1462455106653422
eICU,"Mean heart rate, prior 6 h, beats/min",continuous,6779,2031,6755,1985,86.79925374746942,85.19639839776751,17.06439568155829,16.987328499885884,0.09414214892992152,0.3540345183655406,2.2648941408173315,0.09414214892992152
eICU,"Last respiratory rate, breaths/min",continuous,6779,2031,6301,1874,20.28408189176321,20.12113127001067,6.649973068494742,6.162660029954475,0.02541755289838185,7.051187490780351,7.730182176267848,0.02541755289838185
eICU,"Last temperature, C",continuous,6779,2031,873,249,36.911604810996565,36.81072690763052,1.3658845777208728,1.6172920959143189,0.06739229964442907,87.12199439445347,87.74002954209749,0.06739229964442907
eICU,Last norepinephrine-equivalent dose,continuous,6779,2031,2906,964,0.13752545427794788,1.455933475603793,1.5317895938957635,32.794101813261314,-0.0567931355800175,57.13232040123912,52.53569670113245,0.0567931355800175
eICU,"Mean norepinephrine-equivalent dose, prior 6 h",continuous,6779,2031,2906,964,0.1493549471490512,1.4477014215302222,1.5300486784130107,32.79057852796911,-0.055935077928598774,57.13232040123912,52.53569670113245,0.055935077928598774
eICU,Distinct vasopressors in episode,continuous,6779,2031,6779,2031,1.3143531494320697,1.3161004431314622,0.6244635866938595,0.6429088434912157,-0.0027570564640386967,0.0,0.0,0.0027570564640386967
eICU,Modified shock index,continuous,6779,2031,6752,1985,1.201587576655463,1.2010269364208468,0.3526105666282377,0.3925955350590811,0.001502496911743353,0.39828883316123326,2.2648941408173315,0.001502496911743353
eICU,Female sex,binary,6779,2031,6779,2031,0.44696857943649504,0.42097488921713444,0.49721638905917415,0.4938371272354207,0.05246474100026157,0.0,0.0,0.05246474100026157
