model,outcome,training_n,test_n,test_events,prevalence,auroc,auprc,brier_ovr,calibration_intercept,calibration_slope,multiclass_log_loss,multiclass_brier
clinical_multinomial_logistic,durable_liberation_alive,11034,906,445,0.4911699779249448,0.6201905968948792,0.6105004774982434,0.2455170488785042,-0.11599646973181563,0.4723665798345181,0.838461774095654,0.5334113630580861
clinical_multinomial_logistic,restart_first,11034,906,323,0.3565121412803532,0.7068594703386455,0.5314441272846182,0.20490902135241412,0.6441250375131079,1.5203482824321135,0.838461774095654,0.5334113630580861
clinical_multinomial_logistic,death_first,11034,906,138,0.152317880794702,0.8907665307971014,0.6397166759877042,0.08298529282716786,-0.20557582527148607,0.8689775685292546,0.838461774095654,0.5334113630580861
dynamic_multinomial_logistic,durable_liberation_alive,11034,906,445,0.4911699779249448,0.693801944965756,0.6730656934646597,0.22762690488171716,-0.20336299413168066,0.7380718729578536,0.7699746855044245,0.4940258415212673
dynamic_multinomial_logistic,restart_first,11034,906,323,0.3565121412803532,0.7421206633777462,0.573360364580387,0.19702383440101875,0.5230128913902958,1.2794400188608406,0.7699746855044245,0.4940258415212673
dynamic_multinomial_logistic,death_first,11034,906,138,0.152317880794702,0.9232525664251209,0.7266127230372659,0.06937510223853136,-0.1440671846887566,0.9117127657659042,0.7699746855044245,0.4940258415212673
dynamic_multiclass_hgb,durable_liberation_alive,11034,906,445,0.4911699779249448,0.7014891905725219,0.6856034411312198,0.22474067479379856,-0.26446179530027003,0.7706551888066779,0.7327462646353574,0.47748392994838007
dynamic_multiclass_hgb,restart_first,11034,906,323,0.3565121412803532,0.7337939238167055,0.5591078154568889,0.1985285797326679,0.39121242501998726,1.0231892816262624,0.7327462646353574,0.47748392994838007
dynamic_multiclass_hgb,death_first,11034,906,138,0.152317880794702,0.9485677083333333,0.7772105778384114,0.05421467542191365,-0.0009376605424979991,0.9535458054049314,0.7327462646353574,0.47748392994838007
laboratory_extended_multiclass_hgb,durable_liberation_alive,11034,906,445,0.4911699779249448,0.7072314704233591,0.7013476523114807,0.22463554510712125,-0.27736702461227697,0.7735331220020917,0.7270006979582935,0.4765277347097875
laboratory_extended_multiclass_hgb,restart_first,11034,906,323,0.3565121412803532,0.740915197892825,0.5556753241940902,0.19819616937381107,0.41656352526561474,1.026841554876691,0.7270006979582935,0.4765277347097875
laboratory_extended_multiclass_hgb,death_first,11034,906,138,0.152317880794702,0.9542195048309179,0.7861063706567751,0.05369602022885513,-0.009592406504092637,0.9584023435293884,0.7270006979582935,0.4765277347097875
