variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
freshness_180,corrected_primary_source_raw,auroc,0.4991381759113962,0.46122880362127583,0.557495098954213,1000,1000
freshness_180,corrected_primary_source_raw,auprc,0.37607706359270676,0.3354483646945711,0.4247135251456693,1000,1000
freshness_180,corrected_primary_source_raw,brier,0.5132324154069382,0.4132377165883926,0.5767247322123017,1000,1000
freshness_180,corrected_primary_source_raw,calibration_intercept,-0.6532932523632996,-1.00262097383844,-0.3940436152443154,1000,1000
freshness_180,corrected_primary_source_raw,calibration_slope,0.05044178483005497,-0.011550591270985101,0.12863436867655723,1000,1000
freshness_180,corrected_primary_source_raw,mean_predicted_risk,0.8576516581495309,0.6598843895946641,0.9461053263492726,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,auroc,0.4991381759113962,0.46122880362127583,0.557495098954213,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,auprc,0.37607706359270676,0.3354483646945711,0.4247135251456693,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,brier,0.4020581927009708,0.34875947637216215,0.4401621548214296,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,calibration_intercept,-0.4810829258590108,-0.6806421502182574,-0.32718517145037473,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,calibration_slope,0.050243355852180524,-0.012977545838343875,0.12934688967921804,1000,1000
freshness_180,corrected_primary_source_intercept_recalibrated,mean_predicted_risk,0.6482605956135872,0.39868630898884294,0.7536922213315307,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,auroc,0.5008618240886038,0.4425049010457871,0.5387711963787242,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,auprc,0.3726385051297816,0.30891695101053335,0.4238577294300383,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,brier,0.23987014534320186,0.2277595611255536,0.24971888170688936,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,calibration_intercept,-1.057601285714881,-2.016664756437094,-0.34765876516097605,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,calibration_slope,-1.1691639961506044,-2.981549187266917,0.26772512779555496,1000,1000
freshness_180,corrected_primary_source_logistic_recalibrated,mean_predicted_risk,0.3752276214375046,0.36707123995713525,0.3946162218883901,1000,1000
freshness_180,corrected_strict_source_raw,auroc,0.500106176727716,0.46222332690171,0.5584555691906159,1000,1000
freshness_180,corrected_strict_source_raw,auprc,0.3770093638264902,0.3376405716390573,0.42463127286214764,1000,1000
freshness_180,corrected_strict_source_raw,brier,0.5130668969813397,0.4129562908544041,0.5766951162863255,1000,1000
freshness_180,corrected_strict_source_raw,calibration_intercept,-0.6587148556299323,-1.0155236790910878,-0.402331654935442,1000,1000
freshness_180,corrected_strict_source_raw,calibration_slope,0.05209270721095638,-0.00978896154312278,0.13100825631092247,1000,1000
freshness_180,corrected_strict_source_raw,mean_predicted_risk,0.8582673251665305,0.6615402197564596,0.9462540043178103,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,auroc,0.500106176727716,0.46222332690171,0.5584555691906159,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,auprc,0.3770093638264902,0.3376405716390573,0.42463127286214764,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,brier,0.40121009545822606,0.3482741263518194,0.4388705503733981,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,calibration_intercept,-0.48207046718367996,-0.6825263562517851,-0.327441033579019,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,calibration_slope,0.051917595772069426,-0.011049555329384822,0.13142371492738567,1000,1000
freshness_180,corrected_strict_source_intercept_recalibrated,mean_predicted_risk,0.6486505282772599,0.39896116957619515,0.7536684341494047,1000,1000
